SYMBOL,NAME OF COMPANY,TICKER
HIFDTDP,HDFC Income Fund - Quarterly IDCW- Direct Plan,INF179K01WJ7
HIFGTGR,HDFC Income Fund - Growth Option - Direct Plan,INF179K01WL3
166TPDP,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,INF966L01119
166TPGP,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,INF966L01135
166TPD1,quant ELSS Tax Saver Fund - IDCW Option - Direct Plan,INF966L01960
166TPDG,quant ELSS Tax Saver Fund - Growth Option - Direct Plan,INF966L01986
166IBGP,quant Small Cap Fund - Growth - Regular Plan,INF966L01AA0
166IBD1,quant Small Cap Fund - IDCW Option - Direct Plan,INF966L01663
166IBDG,quant Small Cap Fund - Growth Option - Direct Plan,INF966L01689
JMEFDP,JM Large Cap Fund (Regular) - IDCW ,INF192K01585
JMEFGP,JM Large Cap Fund (Regular) - Growth Option,INF192K01601
EFAD,JM Large Cap Fund (Regular) - Annual IDCW,INF192K01JS8
JMEFDG,JM Large Cap Fund (Direct) - Growth Option,INF192K01BZ0
JMBFDP,JM Aggressive Hybrid Fund (Regular) - IDCW,INF192K01528
JMBFGP,JM Aggressive Hybrid Fund (Regular) -Growth Option,INF192K01544
JMBFDG,JM Aggressive Hybrid Fund (Direct) - Growth Option,INF192K01BQ9
JMIFRD,JM Medium to Long Duration Fund (Regular) - Quarterly IDCW,INF192K01999
JMIFRG,JM Medium to Long Duration Fund (Regular) - Growth Option,INF192K01AB3
JMIFDG,JM Medium to Long Duration Fund (Direct) - Growth Option,INF192K01CW5
JMBAGP,JM Value Fund (Regular) - Growth Option,INF137A01037
JMBADP,JM Value Fund (Regular) - IDCW,INF137A01011
JMBADG,JM Value Fund (Direct) - Growth Option,INF192K01BT3
KBALANCE,Kotak Equity Hybrid - Payout of Income Distribution cum capital withdrawal option,INF174K01450
K04D,Kotak Equity Hybrid - Payout of Income Distribution cum  capital withdrawal option - Direct,INF174K01LL7
KBALG04GD,Kotak Equity Hybrid - Growth - Direct,INF174K01F00
KBG,Kotak Equity Hybrid - Growth,INF174K01E92
KBONG06D,Kotak Bond Fund - Growth - Direct,INF174K01JC0
KBONREGG,Kotak Bond Fund - Regular Plan Growth,INF174K01EM0
KBONREGADP,Kotak Bond Fund - Regular Plan - Standard IDCW Option,INF174K01EQ1
EFDPD,LIC MF Flexi Cap Fund-Regular Plan-IDCW,INF767K01063
EFGPG,LIC MF Flexi Cap Fund-Regular Plan-Growth,INF767K01071
EFD1D,LIC MF Flexi Cap Fund-Direct Plan-IDCW,INF767K01EF5
EFG1G,LIC MF Flexi Cap Fund-Direct Plan-Growth,INF767K01EG3
LICNBFDPD,LIC MF Medium to Long Duration Bond Fund-Regular Plan-IDCW,INF767K01907
LICNBFGPG,LIC MF Medium to Long Duration Bond Fund-Regular Plan-Growth,INF767K01923
BFG1G,LIC MF Medium to Long Duration Bond Fund-Direct Plan-Growth,INF767K01EW0
BLDPD,LIC MF Aggressive Hybrid Fund-Regular Plan-IDCW,INF767K01022
BLDPG,LIC MF Aggressive Hybrid Fund-Regular Plan-Growth,INF767K01030
BLD1D,LIC MF Aggressive Hybrid Fund-Direct Plan-IDCW,INF767K01EC2
BLG1G,LIC MF Aggressive Hybrid Fund-Direct Plan-Growth,INF767K01ED0
GFDPD,LIC MF Large Cap Fund-Regular Plan-IDCW,INF767K01097
GFGPG,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105
GFG1G,LIC MF Large Cap Fund-Direct Plan-Growth,INF767K01EJ7
GFD1D,LIC MF Large Cap Fund-Direct Plan-IDCW,INF767K01EI9
IPRU12P,ICICI Prudential Large & Mid Cap Fund - IDCW,INF109K01EQ7
IPGROWTH11,ICICI Prudential Large & Mid Cap Fund - Growth,INF109K01431
IPRU8002,ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth,INF109K011O5
IPRU8003P,ICICI Prudential Large & Mid Cap Fund - Direct Plan - IDCW,INF109K019N0
IPRU42P,ICICI Prudential FMCG Fund - IDCW,INF109K01EO2
IPFMCG41,ICICI Prudential FMCG Fund - Growth,INF109K01415
IPRU8011,ICICI Prudential FMCG Fund - Direct Plan -  Growth,INF109K01Z14
IPRU8012P,ICICI Prudential FMCG Fund - Direct Plan -  IDCW,INF109K01Y98
IPRU02P,ICICI Prudential ELSS Tax Saver Fund - IDCW,INF109K01FN1
IPTAX01,ICICI Prudential ELSS Tax Saver Fund - Growth,INF109K01464
IPRU8000,ICICI Prudential ELSS Tax Saver Fund - Direct Plan - Growth,INF109K01Y31
IPRU8001P,ICICI Prudential ELSS Tax Saver Fund - Direct Plan - IDCW,INF109K01Y15
IPRU62P,ICICI Prudential Equity & Debt Fund - Monthly IDCW,INF109K01DX5
IPRU61,ICICI Prudential Equity & Debt Fund - Growth,INF109K01480
IPRU8017,ICICI Prudential Equity & Debt Fund - Direct Plan - Growth,INF109K01Y07
IPRU8018P,ICICI Prudential Equity & Debt Fund - Direct Plan - Monthly IDCW,INF109K01X81
IPRU2759P,ICICI Prudential Equity & Debt Fund - Annual IDCW,INF109KB1QK6
IPRU8961P,ICICI Prudential Equity & Debt Fund - Direct Plan - Annual IDCW,INF109KB1QM2
IPTECH71,ICICI Prudential Technology Fund - Growth,INF109K01506
IPRU72P,ICICI Prudential Technology Fund - IDCW,INF109K01FO9
IPRU8019,ICICI Prudential Technology Fund - Direct Plan -  Growth,INF109K01Z48
IPRU8020P,ICICI Prudential Technology Fund - Direct Plan -  IDCW,INF109K01Z22
IPRU22,ICICI Prudential Long Term Bond Fund - Growth,INF109K01365
IPRU21QP,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,INF109K01EZ8
IPRU8007,ICICI Prudential Long Term Bond Fund - Direct Plan - Growth,INF109K017L8
RELGROWTDP,NIPPON INDIA GROWTH FUND - IDCW Option,INF204K01299
RELGROWTBP,Nippon India Growth Fund-Growth Plan-Bonus Option,INF204K01315
RELGROWTGP,Nippon India Growth Fund-Growth Plan-Growth Option,INF204K01323
RELGRODPDP,NIPPON INDIA GROWTH FUND - DIRECT Plan - IDCW Option,INF204K01E39
RELGRODPGP,Nippon India Growth Fund - Direct Plan Growth Plan - Growth Option,INF204K01E54
RELVISINDP,NIPPON INDIA VISION FUND - IDCW Option,INF204K01372
RELVISINBP,Nippon India Vision Fund-GROWTH PLAN-Bonus Option,INF204K01398
RELVISINGP,Nippon India Vision Fund-GROWTH PLAN-Growth Option,INF204K01406
RELVISDPDP,NIPPON INDIA VISION FUND - DIRECT Plan - IDCW Option,INF204K01F04
RELVISDPGP,Nippon India Vision Fund - Direct Plan Growth Plan - Growth Option,INF204K01F20
RELINCOMDP,NIPPON INDIA INCOME FUND - MONTHLY IDCW Option,INF204K01CN7
RELINCOQDP,NIPPON INDIA INCOME FUND - QUARTERLY IDCW Option,INF204K01CP2
RELINCOADP,NIPPON INDIA INCOME FUND - ANNUAL IDCW Option,INF204K01CT4
RELINCOMGP,Nippon India Income Fund - Growth Plan Growth Option,INF204K01CL1
RELINCOMBP,Nippon India Income Fund - Growth Plan Bonus Option,INF204K01CM9
RELINCDPGP,Nippon India Income Fund - Direct Plan Growth Plan - Growth Option,INF204K01XS2
TMFSSGPG,Taurus Flexi Cap Fund - Regular Plan - Growth ,INF044D01989
TMFSSDPD,Taurus Flexi Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,INF044D01955
SSG1GTMF,Taurus Flexi Cap Fund - Direct Plan - Growth,INF044D01BU9
TMFDSGPG,Taurus Mid Cap Fund - Regular Plan - Growth,INF044D01815
TMFDSDPD,Taurus Mid Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,INF044D01781
DSG1GTMF,Taurus Mid Cap Fund - Direct Plan - Growth,INF044D01CA9
TMFLTGPG,Taurus ELSS Tax Saver Fund - Regular Plan - Growth,INF044D01AC9
TMFLTDPD,Taurus ELSS Tax Saver Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,INF044D01997
LTG1GTMF,Taurus ELSS Tax Saver Fund - Direct Plan - Growth,INF044D01CG6
FIIFNSEGP,Franklin India Index Fund- NSE Nifty 50 Index Fund - Growth,INF090I01890
FIIFNSEDP,Franklin India INDEX FUND- NSE NIFTY 50 INDEX FUND - IDCW,INF090I01874
FIIFNSEDDP,Franklin India INDEX FUND- NSE Nifty 50 Index Fund - Direct - IDCW,INF090I01GQ8
FIIFNSEDGP,Franklin India INDEX FUND- NSE NIFTY 50 INDEX FUND- Direct - Growth,INF090I01GS4
GFGP,Templeton India Value Fund - Growth Plan,INF090I01296
GFDP,Templeton India Value Fund - IDCW ,INF090I01270
GFDDP,Templeton India Value Fund - Direct - IDCW ,INF090I01GW6
GFDGP,Templeton India Value Fund - Direct - Growth,INF090I01GY2
FIBCFDP,Franklin India BLUECHIP FUND - IDCW ,INF090I01155
FIBCFGP,Franklin India Bluechip Fund-Growth,INF090I01171
FIBCFDDP,Franklin India BLUECHIP FUND - Direct - IDCW ,INF090I01FO5
FIBCFDGP,Franklin India Bluechip Fund- Direct - Growth,INF090I01FN7
FIPFDP,Franklin India PRIMA FUND - IDCW ,INF090I01726
FIPFGP,Franklin India Prima Fund-Growth,INF090I01809
FIPFDDP,Franklin India PRIMA FUND - Direct - IDCW ,INF090I01FI7
FIPFDGP,Franklin India Prima Fund - Direct - Growth,INF090I01FH9
FIPPDP,Franklin India Flexi Cap Fund - IDCW ,INF090I01213
FIPPGP,Franklin India Flexi Cap Fund - Growth,INF090I01239
FIPPDDP,Franklin India Flexi Cap Fund - Direct - IDCW ,INF090I01FL1
FIPPDGP,Franklin India Flexi Cap Fund - Direct - Growth,INF090I01FK3
FIFDP,Franklin India Technology Fund - IDCW ,INF090I01759
FIFGP,Franklin India Technology Fund-Growth,INF090I01742
FIFDDP,Franklin India Technology Fund - Direct - IDCW ,INF090I01FF3
FIFDGP,Franklin India Technology Fund - Direct - Growth,INF090I01FE6
FIOFDP,Franklin INDIA OPPORTUNITIES FUND - IDCW ,INF090I01858
FIOFGP,Franklin India Opportunities Fund - Growth,INF090I01841
FIOFDDP,Franklin INDIA OPPORTUNITIES FUND - Direct - IDCW ,INF090I01GD6
FIOFDGP,Franklin India Opportunities Fund - Direct - Growth,INF090I01GC8
FITAXDP,Franklin India ELSS Tax Saver Fund - IDCW,INF090I01783
FITAXGR,Franklin India ELSS Tax Saver Fund-Growth,INF090I01775
FITAXDGR,Franklin India ELSS Tax Saver Fund - Direct - Growth,INF090I01JS8
FITAXDDP,Franklin India ELSS Tax Saver Fund - Direct - IDCW,INF090I01JT6
TIIBAADP,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,INF090I01DH4
TIIBAAGP,Franklin India Corporate Debt Fund - Growth,INF090I01DG6
TIIBAAMDP,Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,INF090I01DJ0
TIIBAAQDP,Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,INF090I01DL6
TIIBAADGP,Franklin India Corporate Debt Fund - Direct - GROWTH,INF090I01FW8
FTIBFDP,Franklin India Equity Hybrid Fund - IDCW ,INF090I01825
FTIBFGP,Franklin India Equity Hybrid Fund - Growth Plan,INF090I01817
FTIBFDGP,Franklin India Equity Hybrid Fund - Direct - Growth,INF090I01FZ1
FTIBFDDP,Franklin India Equity Hybrid Fund - Direct - IDCW ,INF090I01GA2
CRETDP,CANARA ROBECO ELSS TAX SAVER - REGULAR PLAN -IDCW (Payout),INF760K01084
CRETGP,CANARA ROBECO ELSS TAX SAVER - REGULAR PLAN - GROWTH OPTION,INF760K01100
CRETDG,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - GROWTH OPTION,INF760K01EL8
CRETDD,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - IDCW (Payout),INF760K01EJ2
CRMIDP,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),INF760K01308
CRMIGP,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - GROWTH OPTION,INF760K01282
CRMIQP,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - QUARTERLY IDCW (Payout/Reinvestment),INF760K01AP7
CRMIDG,CANARA ROBECO CONSERVATIVE HYBRID FUND - DIRECT PLAN - GROWTH OPTION,INF760K01GB4
CRMIDM,CANARA ROBECO CONSERVATIVE HYBRID FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment),INF760K01FZ5
SBSRQDP,Sundaram Medium Term Bond Fund Regular Plan- Quarterly Income Distribution cum Capital Withdrawal (IDCW),INF903J01FR0
SBSRG,Sundaram Medium Term Bond Fund Regular Plan - Growth,INF903J01FQ2
22PD,Sundaram Medium Term Bond Fund Direct Plan - Growth,INF903J01PO6
SBNPPEQU19,Sundaram Diversified Equity (ELSS) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),INF903J01512
SBNPPEQU21,Sundaram Diversified Equity (ELSS) Regular Plan - Growth,INF903J01538
14PD,Sundaram Diversified Equity (ELSS) Direct Plan - Growth,INF903J01NN3
MLIF-98-DP,SBI Magnum Income Fund - Regular Plan - Half Yearly - Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01610
MLIF-98-G,SBI Magnum Income Fund-REGULAR PLAN-Growth,INF200K01594
SBMIFD028G,SBI Magnum Income Fund-DIRECT PLAN -Growth,INF200K01SR2
MSF-IT-DP,SBI Technology Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01420
SBITOFRG,SBI TECHNOLOGY OPPORTUNITIES FUND - REGULAR PLAN - GROWTH,INF200K01VS4
MSF-FMC-DP,SBI Consumption Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01404
SBIFMCG,SBI CONSUMPTION OPPORTUNITIES FUND - REGULAR - GROWTH,INF200K01VR6
UTIMSHARE,UTI Large Cap Fund - Regular Plan - IDCW,INF189A01038
UTIMSHARE,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976
UTMSHARE,UTI Large Cap Fund - Direct Plan - Growth Option,INF789F01US8
UTIMRD1D,UTI Large Cap Fund - Direct Plan - IDCW,INF789F01UQ2
UTIEQUITY,UTI Flexi Cap Fund - Regular Plan - IDCW,INF189A01053
UTIEQUITY,UTI - Flexi Cap Fund-Growth Option,INF789F01513
EQD2G,UTI - Flexi Cap Fund-Growth Option - Direct,INF789F01TC4
UTITOP100,UTI Large & Mid Cap Fund - Regular Plan - IDCW,INF189A01046
UTITOP100,UTI Large & Mid Cap Fund - Regular Plan - Growth Option,INF789F01869
UTIBALANCE,UTI Aggressive Hybrid Fund - Regular Plan - Growth,INF789F01323
UTIBALANCE,UTI Aggressive Hybrid Fund - Regular Plan - IDCW,INF789F01307
UTIMNC,UTI MNC Fund - Regular Plan - IDCW,INF789F01828
UTIMNC,UTI - MNC Fund - Regular Plan - Growth Option,INF789F01844
UTIBOND,UTI Medium to Long Duration Fund- Regular Plan - Growth,INF789F01406
UTIBANKING,UTI Medium to Long Duration Fund - Regular Plan - Quarterly IDCW,INF789F01380
UTIPHARMA,UTI Healthcare Fund - Regular Plan - IDCW,INF789F01679
UTIPHARMA,UTI Healthcare Fund - Regular Plan - Growth Option,INF789F01695
UTIETSP,UTI ELSS Tax Saver Fund - Regular Plan - IDCW,INF789F01521
UTIETSP,UTI ELSS Tax Saver Fund - Regular Plan - Growth Option,INF789F01547
ETD2G,UTI ELSS Tax Saver Fund - Direct Plan - Growth Option,INF789F01TF7
NIGPG,UTI Nifty 50 Index Fund - Regular Plan - Growth Option,INF789F01JN2
UTINIDPD,UTI Nifty 50 Index Fund - Regular Plan - IDCW,INF789F01JL6
NID2G,UTI Nifty 50 Index Fund - Growth Option- Direct,INF789F01XA0
RELMEDIUGP,Nippon India Corporate Bond Fund - Growth Plan - Growth Option,INF204K01EF9
RELMEDIMDP,NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option,INF204K01EJ1
IPDDRMF,NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option,INF204K01EG7
RELMTFDPQD,NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option,INF204K01C72
RELMTFDPGP,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,INF204K01C15
LICNTPDPD,LIC MF ELSS Tax Saver-Regular Plan-IDCW,INF767K01931
LICNTPGPG,LIC MF ELSS Tax Saver-Regular Plan-Growth,INF767K01956
LICTPD1,LIC MF ELSS Tax Saver-Direct Plan-IDCW,INF767K01EL3
LICTPG1,LIC MF ELSS Tax Saver-Direct Plan-Growth,INF767K01EM1
FTIMIPAGP,Franklin India Debt Hybrid Fund - Growth,INF090I01EA7
FTIMIPAMDP,Franklin India Debt Hybrid Fund - Plan A - Monthly - IDCW,INF090I01EB5
FTIMIPAQDP,Franklin India Debt Hybrid Fund - Plan A - Quarterly - IDCW,INF090I01ED1
FTIMIPADGP,Franklin India Debt Hybrid Fund - Direct - GROWTH,INF090I01GF1
166OFGP,quant Mid Cap Fund - Growth Option - Regular Plan,INF966L01176
166OFDP,quant Mid Cap Fund - IDCW Option - Regular Plan,INF966L01150
166OFD1,quant Mid Cap Fund - IDCW Option - Direct Plan,INF966L01861
166OFDG,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887
166BFDP,quant Absolute Fund-IDCW Option - Regular Plan,INF966L01242
166BFGP,quant Absolute Fund - Growth Option - Regular Plan,INF966L01267
166BFD1,quant Absolute Fund-IDCW Option-Direct Plan,INF966L01531
166BFDG,quant Absolute Fund-Growth Option-Direct Plan,INF966L01556
166GFDP,quant Active Fund-IDCW Option - Regular Plan,INF966L01218
166GFGP,quant Active Fund-GROWTH OPTION - Regular Plan,INF966L01234
166GFD1,quant Active Fund-IDCW Option - Direct Plan,INF966L01598
166GFDG,quant Active Fund-GROWTH OPTION-Direct Plan,INF966L01614
166GLDP,quant Multi Asset Fund - IDCW Option - Regular Plan,INF966L01184
166GLGP,quant Multi Asset Fund-GROWTH OPTION - Regular Plan,INF966L01200
166GLD1,quant Multi Asset Fund - IDCW Option - Direct Plan,INF966L01564
166GLDG,quant Multi Asset Fund-GROWTH OPTION-Direct Plan,INF966L01580
FIFRDP,Franklin India Floating Rate Fund - IDCW ,INF090I01LN5
FIFRGP,Franklin India Floating Rate Fund - Direct - Growth,INF090I01LK1
TATABFG,Tata Hybrid Equity Fund- Regular Plan - Growth Option,INF277K01303
TATABFD,Tata Hybrid Equity Fund- Regular Plan - Periodic Payout of IDCW Option,INF277K01DB6
TATABFMD,Tata Hybrid Equity Fund- Regular Plan - Monthly Payout of IDCW Option,INF277K01CS2
TEGFD,Tata Hybrid Equity Fund -Direct Plan- Growth Option,INF277K01MN2
TEGFF,Tata Hybrid Equity Fund- Direct Plan - Monthly Payout of IDCW Option,INF277K01MO0
TEGFE,Tata Hybrid Equity Fund- Direct Plan - Periodic Payout of IDCW Option,INF277K01ML6
TTSF96A,Tata ELSS Tax Saver Fund- Regular Plan - Payout of IDCW Option,INF277K01I60
TTSF96B,Tata ELSS Tax Saver Fund- Direct Plan - Payout of IDCW Option,INF277K01I94
TTSF96D,Tata ELSS Tax Saver Fund-Growth-Direct Plan,INF277K01I86
TTSF96C,Tata ELSS Tax Saver Fund-Growth-Regular Plan,INF277K01I52
IPPOWER121,ICICI Prudential Multicap Fund - Growth,INF109K01613
IP122P,ICICI Prudential Multicap Fund - IDCW,INF109K01FK7
IPRU8031P,ICICI Prudential Multicap Fund - Direct Plan -  IDCW,INF109K012O3
IPRU8030,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9
CFGPG,LIC MF Children's Gift Fund-Regular Plan-Growth,INF767K01048
IP23P,ICICI Prudential Short Term Fund - Monthly IDCW,INF109K01WL0
BSL331G,Aditya Birla Sun Life Savings Fund-Retail Growth,INF209K01MC8
B132G,Aditya Birla Sun Life Savings Fund - Growth - Regular Plan,INF209K01LZ1
B132WD,Aditya Birla Sun Life Savings Fund-Regular - weekly IDCW,INF209K01MA2
B132WZ,Aditya Birla Sun Life Savings Fund-DIRECT - WEEKLY IDCW,INF209K01US7
B132DZ,Aditya Birla Sun Life Savings Fund-DIRECT - DAILY IDCW,INF209K01UQ1
B132GZ,Aditya Birla Sun Life Savings Fund - Growth - Direct Plan,INF209K01UR9
MCBP,SBI Magnum Children's Benefit Fund - Savings Plan - REGULAR PLAN - GROWTH,INF200K01776
SCBSP056GD,SBI Magnum Children's Benefit Fund - Savings Plan - DIRECT PLAN - GROWTH,INF200K01QR6
IPRUINXNB,ICICI Prudential Nifty 50 Index Fund - Cumulative Option,INF109K01PI0
IPRU8189,ICICI Prudential Nifty 50 Index Fund - Direct Plan Cumulative Option,INF109K012M7
IPRU2718P,ICICI Prudential Nifty 50 Index Fund - IDCW Option,INF109KB1NN7
IPRU8920P,ICICI Prudential Nifty 50 Index Fund - Direct Plan IDCW Option,INF109KB1NL1
TMFBEGPG,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773
TMFBEDPD,Taurus Large Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,INF044D01740
IPRU25DP,ICICI Prudential All Seasons Bond Fund - Weekly IDCW,INF109K01FD2
IP26PP,ICICI Prudential All Seasons Bond Fund - Growth,INF109K01GN9
IP1713P,ICICI Prudential All Seasons Bond Fund - IDCW,INF109K01GK5
IP1712P,ICICI Prudential All Seasons Bond Fund - Annual IDCW,INF109K01GO7
IPRU8145,ICICI Prudential All Seasons Bond Fund - Direct Plan - Growth,INF109K016E5
IPRU8010P,ICICI Prudential All Seasons Bond Fund - Direct Plan - Weekly IDCW,INF109K019E9
IP1714P,ICICI Prudential All Seasons Bond Fund - Quarterly IDCW,INF109K01GE8
IPRU8142P,ICICI Prudential All Seasons Bond Fund - Direct Plan - IDCW,INF109K014E0
IPRU8143P,ICICI Prudential All Seasons Bond Fund - Direct Plan - Annual IDCW,INF109K012E4
IPRU8144P,ICICI Prudential All Seasons Bond Fund - Direct Plan - Quarterly IDCW,INF109K017E3
KBSTG,Kotak Bond Short Term Plan-(Growth),INF174K01ES7
KBSTG10D,Kotak Bond Short Term Plan-(Growth) - Direct,INF174K01JI7
KBST20NDPD,Kotak Bond Short Term Plan - Direct - Standard Income Distribution cum capital withdrawal option,INF174K01Z14
K20ND,Kotak Bond Short Term Plan - Regular Plan - Normal Dividend,INF174K01Y98
HINSP,HDFC Index Fund-S&P BSE Sensex Plan - Growth Plan,INF179K01LA9
HINSPT,HDFC Index Fund-S&P BSE Sensex Plan - Direct Plan,INF179K01WN9
HINNP,HDFC Index Fund-NIFTY 50 Plan - Growth Plan,INF179K01KZ8
HINNPT,HDFC Index Fund-NIFTY 50 Plan - Direct Plan,INF179K01WM1
SBNPPEQU53,Sundaram Mid Cap Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),INF903J01181
SBNPPEQU52,Sundaram Mid Cap Fund Regular Plan - Growth,INF903J01173
04PD,Sundaram Mid Cap Fund Direct Plan - Growth,INF903J01MJ3
05PD,Sundaram Mid Cap Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),INF903J01MH7
DSPBRSTF,DSP Short Term Fund - Regular Plan - Growth,INF740K01656
DSPBRSTDF,DSP Short Term Fund - Regular Plan - IDCW,INF740K01649
DSPBRSTMDF,DSP Short Term Fund - IDCW - Monthly,INF740K01664
DSPSTDGR,DSP Short Term Fund - Direct Plan - Growth,INF740K01NJ5
MEF-DP,SBI Magnum Equity ESG Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01198
MEF-G,SBI Magnum Equity ESG Fund- REGULAR PLAN - Growth,INF200K01214
SBESGD007G,SBI Magnum Equity ESG Fund - DIRECT PLAN -GROWTH,INF200K01SE0
CRIFDPD,CANARA ROBECO INCOME FUND - REGULAR PLAN - QUARTERLY IDCW (Payout/Reinvestment),INF760K01340
CRIFGPG,CANARA ROBECO INCOME FUND - REGULAR PLAN - GROWTH OPTION,INF760K01324
CRIFDG,CANARA ROBECO INCOME FUND - DIRECT PLAN - GROWTH OPTION,INF760K01FI1
B241D,Aditya Birla Sun Life Nifty 50 Index Fund -REGULAR - IDCW,INF209K01LA4
B241G,Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Regular Plan,INF209K01LB2
B241GZ,Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,INF209K01VY3
B241DZ,Aditya Birla Sun Life Nifty 50 Index Fund -DIRECT - IDCW,INF209K01VX5
IPRU1710P,ICICI Prudential Savings Fund - Weekly IDCW,INF109K01JO1
IP1524,ICICI Prudential Savings Fund - Daily IDCW,INF109K01738
IP1525,ICICI Prudential Savings Fund - Growth,INF109K01746
IPRU8271P,ICICI Prudential Savings Fund - Direct Plan - Monthly IDCW,INF109K018Y9
IPRU8270P,ICICI Prudential Savings Fund - Direct Plan - Fortnightly IDCW,INF109K016Y3
IPRU8272P,ICICI Prudential Savings Fund - Direct Plan - Quarterly IDCW,INF109K010Z3
IPRU2072P,ICICI Prudential Savings Fund - Quarterly IDCW,INF109K016Z0
IPRU8087P,ICICI Prudential Savings Fund - Direct Plan - Weekly IDCW,INF109K01P08
IPRU8085,ICICI Prudential Savings Fund - Direct Plan - Daily IDCW,INF109K01O66
IPRU8086,ICICI Prudential Savings Fund - Direct Plan - Growth,INF109K01O82
IPRU8127P,ICICI Prudential Savings Fund - Direct Plan - IDCW Others,INF109K01O90
IPRU2071P,ICICI Prudential Savings Fund - Monthly IDCW,INF109K014Z5
BSL251D,Aditya Birla Sun Life Midcap Fund -REGULAR - IDCW,INF209K01355
BSL251G,Aditya Birla Sun Life MIDCAP Fund-Growth,INF209K01363
B251DZ,Aditya Birla Sun Life Midcap Fund -DIRECT - IDCW,INF209K01Q22
B251GZ,Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan,INF209K01Q30
IPRU16P,ICICI Prudential Multi-Asset Fund - IDCW,INF109K01ED5
IPDYNMIC15,ICICI Prudential Multi-Asset Fund - Growth,INF109K01761
IPRU8004,ICICI Prudential Multi-Asset Fund - Direct Plan - Growth,INF109K015K4
IPRU8005P,ICICI Prudential Multi-Asset Fund - Direct Plan - IDCW,INF109K013K9
OEFDP,HSBC Large Cap Fund - Regular IDCW,INF336L01024
OEFG,HSBC Large Cap Fund - Regular Growth,INF336L01016
OHEFDP,HSBC Large Cap Fund - Direct IDCW,INF336L01CK1
OHEFG,HSBC Large Cap Fund - Direct Growth,INF336L01CM7
OIIG,HSBC Medium to Long Duration Fund - Regular Growth,INF336L01776
OIIDP,HSBC Medium to Long Duration Fund - Regular Quarterly IDCW,INF336L01784
OHIIG,HSBC Medium to Long Duration Fund - Direct Growth,INF336L01DE2
TATAIFM,TATA Equity Savings Fund- Regular Plan -Monthly Payout of IDCW option,INF277K01EE8
TATAIFMG,Tata Equity Savings Fund -Regular Plan-Growth Option,INF277K01907
TATATIFMQ,Tata Equity Savings Fund- Regular Plan - Periodic Payout of IDCW Option,INF277K01EF5
TMIF,Tata Equity Savings Fund- Direct Plan- Growth Option,INF277K01QH5
RELSHORTGP,Nippon India Short Term Fund-Growth Plan,INF204K01FL4
RELSHORTMP,NIPPON INDIA SHORT TERM FUND - MONTHLY IDCW Option,INF204K01FM2
RELSHORTDP,NIPPON INDIA SHORT TERM FUND - IDCW Option,INF204KA1EQ4
RELSHORTQP,NIPPON INDIA SHORT TERM FUND - QUARTERLY IDCW OPTION,INF204K01FO8
RELSHODPGP,Nippon India Short Term Fund - Direct Plan Growth Plan - Growth Option,INF204K01B32
RELSHODPDP,NIPPON INDIA SHORT TERM FUND - Direct Plan - MONTHLY IDCW Option,INF204K01B40
